key,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.,Arena,Notes
191,Sat Nov 12 2022,8:30p,Houston Rockets,,New Orleans Pelicans,,,Smoothie King Center,
192,Sun Nov 13 2022,12:00p,Oklahoma City Thunder,,New York Knicks,,,Madison Square Garden (IV),
193,Sun Nov 13 2022,6:00p,Minnesota Timberwolves,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
194,Sun Nov 13 2022,6:00p,Memphis Grizzlies,,Washington Wizards,,,Capital One Arena,
195,Sun Nov 13 2022,7:30p,Utah Jazz,,Philadelphia 76ers,,,Wells Fargo Center,
196,Sun Nov 13 2022,8:00p,Denver Nuggets,,Chicago Bulls,,,United Center,
197,Sun Nov 13 2022,9:00p,Golden State Warriors,,Sacramento Kings,,,Golden 1 Center,
198,Sun Nov 13 2022,9:30p,Brooklyn Nets,,Los Angeles Lakers,,,Crypto.com Arena,
199,Mon Nov 14 2022,7:00p,Toronto Raptors,,Detroit Pistons,,,Little Caesars Arena,
200,Mon Nov 14 2022,7:00p,Charlotte Hornets,,Orlando Magic,,,Amway Center,
201,Mon Nov 14 2022,7:30p,Oklahoma City Thunder,,Boston Celtics,,,TD Garden,
202,Mon Nov 14 2022,7:30p,Phoenix Suns,,Miami Heat,,,FTX Arena,
203,Mon Nov 14 2022,8:00p,Los Angeles Clippers,,Houston Rockets,,,Toyota Center,
204,Mon Nov 14 2022,8:00p,Atlanta Hawks,,Milwaukee Bucks,,,Fiserv Forum,
205,Mon Nov 14 2022,10:00p,San Antonio Spurs,,Golden State Warriors,,,Chase Center,
206,Tue Nov 15 2022,7:30p,Memphis Grizzlies,,New Orleans Pelicans,,,Smoothie King Center,
207,Tue Nov 15 2022,8:30p,Los Angeles Clippers,,Dallas Mavericks,,,American Airlines Center,
208,Tue Nov 15 2022,10:00p,San Antonio Spurs,,Portland Trail Blazers,,,Moda Center,
209,Tue Nov 15 2022,10:00p,Brooklyn Nets,,Sacramento Kings,,,Golden 1 Center,
210,Tue Nov 15 2022,10:00p,New York Knicks,,Utah Jazz,,,Vivint Arena,
211,Wed Nov 16 2022,7:00p,Indiana Pacers,,Charlotte Hornets,,,Spectrum Center,
212,Wed Nov 16 2022,7:00p,Minnesota Timberwolves,,Orlando Magic,,,Amway Center,
213,Wed Nov 16 2022,7:00p,Oklahoma City Thunder,,Washington Wizards,,,Capital One Arena,
214,Wed Nov 16 2022,7:30p,Boston Celtics,,Atlanta Hawks,,,State Farm Arena,
215,Wed Nov 16 2022,7:30p,Miami Heat,,Toronto Raptors,,,Scotiabank Arena,
216,Wed Nov 16 2022,8:00p,Cleveland Cavaliers,,Milwaukee Bucks,,,Fiserv Forum,
217,Wed Nov 16 2022,8:00p,Chicago Bulls,,New Orleans Pelicans,,,Smoothie King Center,
218,Wed Nov 16 2022,8:30p,Houston Rockets,,Dallas Mavericks,,,American Airlines Center,
219,Wed Nov 16 2022,10:00p,New York Knicks,,Denver Nuggets,,,Ball Arena,
220,Wed Nov 16 2022,10:00p,Golden State Warriors,,Phoenix Suns,,,Footprint Center,
221,Thu Nov 17 2022,10:00p,Brooklyn Nets,,Portland Trail Blazers,,,Moda Center,
222,Thu Nov 17 2022,10:00p,San Antonio Spurs,,Sacramento Kings,,,Golden 1 Center,
223,Thu Nov 17 2022,10:30p,Detroit Pistons,,Los Angeles Clippers,,,Crypto.com Arena,
224,Fri Nov 18 2022,7:00p,Miami Heat,,Washington Wizards,,,Capital One Arena,
225,Fri Nov 18 2022,7:30p,Charlotte Hornets,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
226,Fri Nov 18 2022,7:30p,Milwaukee Bucks,,Philadelphia 76ers,,,Wells Fargo Center,
227,Fri Nov 18 2022,8:00p,Orlando Magic,,Chicago Bulls,,,United Center,
228,Fri Nov 18 2022,8:00p,Indiana Pacers,,Houston Rockets,,,Toyota Center,
229,Fri Nov 18 2022,8:00p,Oklahoma City Thunder,,Memphis Grizzlies,,,FedEx Forum,
230,Fri Nov 18 2022,8:30p,Denver Nuggets,,Dallas Mavericks,,,American Airlines Center,
231,Fri Nov 18 2022,8:30p,Boston Celtics,,New Orleans Pelicans,,,Smoothie King Center,
232,Fri Nov 18 2022,9:00p,Phoenix Suns,,Utah Jazz,,,Vivint Arena,
233,Fri Nov 18 2022,10:00p,New York Knicks,,Golden State Warriors,,,Chase Center,
234,Fri Nov 18 2022,10:30p,Detroit Pistons,,Los Angeles Lakers,,,Crypto.com Arena,
235,Sat Nov 19 2022,6:00p,Toronto Raptors,,Atlanta Hawks,,,State Farm Arena,
236,Sat Nov 19 2022,7:00p,Orlando Magic,,Indiana Pacers,,,Gainbridge Fieldhouse,
237,Sat Nov 19 2022,7:30p,Minnesota Timberwolves,,Philadelphia 76ers,,,Wells Fargo Center,
238,Sat Nov 19 2022,10:00p,Utah Jazz,,Portland Trail Blazers,,,Moda Center,
239,Sat Nov 19 2022,10:30p,San Antonio Spurs,,Los Angeles Clippers,,,Crypto.com Arena,
240,Sun Nov 20 2022,3:30p,New York Knicks,,Phoenix Suns,,,Footprint Center,
241,Sun Nov 20 2022,6:00p,Detroit Pistons,,Sacramento Kings,,,Golden 1 Center,
242,Sun Nov 20 2022,6:00p,Charlotte Hornets,,Washington Wizards,,,Capital One Arena,
243,Sun Nov 20 2022,7:00p,Memphis Grizzlies,,Brooklyn Nets,,,Barclays Center,
244,Sun Nov 20 2022,7:00p,Miami Heat,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
245,Sun Nov 20 2022,7:00p,Golden State Warriors,,Houston Rockets,,,Toyota Center,
246,Sun Nov 20 2022,7:30p,Denver Nuggets,,Dallas Mavericks,,,American Airlines Center,
247,Sun Nov 20 2022,9:30p,San Antonio Spurs,,Los Angeles Lakers,,,Crypto.com Arena,
248,Mon Nov 21 2022,7:00p,Atlanta Hawks,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
249,Mon Nov 21 2022,7:00p,Orlando Magic,,Indiana Pacers,,,Gainbridge Fieldhouse,
250,Mon Nov 21 2022,8:00p,Boston Celtics,,Chicago Bulls,,,United Center,
