key,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.,Arena,Notes
548,Sun Jan 1 2023,8:00p,Sacramento Kings,,Memphis Grizzlies,,,FedEx Forum,
549,Sun Jan 1 2023,8:00p,Washington Wizards,,Milwaukee Bucks,,,Fiserv Forum,
550,Mon Jan 2 2023,3:00p,Phoenix Suns,,New York Knicks,,,Madison Square Garden (IV),
551,Mon Jan 2 2023,7:00p,Los Angeles Lakers,,Charlotte Hornets,,,Spectrum Center,
552,Mon Jan 2 2023,7:00p,Chicago Bulls,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
553,Mon Jan 2 2023,7:00p,Toronto Raptors,,Indiana Pacers,,,Gainbridge Fieldhouse,
554,Mon Jan 2 2023,7:00p,New Orleans Pelicans,,Philadelphia 76ers,,,Wells Fargo Center,
555,Mon Jan 2 2023,7:30p,San Antonio Spurs,,Brooklyn Nets,,,Barclays Center,
556,Mon Jan 2 2023,8:00p,Dallas Mavericks,,Houston Rockets,,,Toyota Center,
557,Mon Jan 2 2023,8:00p,Denver Nuggets,,Minnesota Timberwolves,,,Target Center,
558,Mon Jan 2 2023,10:00p,Atlanta Hawks,,Golden State Warriors,,,Chase Center,
559,Mon Jan 2 2023,10:00p,Detroit Pistons,,Portland Trail Blazers,,,Moda Center,
560,Mon Jan 2 2023,10:30p,Miami Heat,,Los Angeles Clippers,,,Crypto.com Arena,
561,Tue Jan 3 2023,8:00p,Washington Wizards,,Milwaukee Bucks,,,Fiserv Forum,
562,Tue Jan 3 2023,8:00p,Boston Celtics,,Oklahoma City Thunder,,,Paycom Center,
563,Tue Jan 3 2023,9:00p,Sacramento Kings,,Utah Jazz,,,Vivint Arena,
564,Wed Jan 4 2023,7:00p,Memphis Grizzlies,,Charlotte Hornets,,,Spectrum Center,
565,Wed Jan 4 2023,7:00p,Phoenix Suns,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
566,Wed Jan 4 2023,7:00p,Oklahoma City Thunder,,Orlando Magic,,,Amway Center,
567,Wed Jan 4 2023,7:00p,Indiana Pacers,,Philadelphia 76ers,,,Wells Fargo Center,
568,Wed Jan 4 2023,7:30p,San Antonio Spurs,,New York Knicks,,,Madison Square Garden (IV),
569,Wed Jan 4 2023,7:30p,Milwaukee Bucks,,Toronto Raptors,,,Scotiabank Arena,
570,Wed Jan 4 2023,8:00p,Brooklyn Nets,,Chicago Bulls,,,United Center,
571,Wed Jan 4 2023,8:00p,Portland Trail Blazers,,Minnesota Timberwolves,,,Target Center,
572,Wed Jan 4 2023,8:00p,Houston Rockets,,New Orleans Pelicans,,,Smoothie King Center,
573,Wed Jan 4 2023,10:00p,Detroit Pistons,,Golden State Warriors,,,Chase Center,
574,Wed Jan 4 2023,10:00p,Miami Heat,,Los Angeles Lakers,,,Crypto.com Arena,
575,Wed Jan 4 2023,10:00p,Atlanta Hawks,,Sacramento Kings,,,Golden 1 Center,
576,Thu Jan 5 2023,7:00p,Memphis Grizzlies,,Orlando Magic,,,Amway Center,
577,Thu Jan 5 2023,7:30p,Boston Celtics,,Dallas Mavericks,,,American Airlines Center,
578,Thu Jan 5 2023,8:00p,Utah Jazz,,Houston Rockets,,,Toyota Center,
579,Thu Jan 5 2023,10:00p,Los Angeles Clippers,,Denver Nuggets,,,Ball Arena,
580,Fri Jan 6 2023,7:00p,Portland Trail Blazers,,Indiana Pacers,,,Gainbridge Fieldhouse,
581,Fri Jan 6 2023,7:30p,Chicago Bulls,,Philadelphia 76ers,,,Wells Fargo Center,
582,Fri Jan 6 2023,7:30p,New York Knicks,,Toronto Raptors,,,Scotiabank Arena,
583,Fri Jan 6 2023,8:00p,Charlotte Hornets,,Milwaukee Bucks,,,Fiserv Forum,
584,Fri Jan 6 2023,8:00p,Washington Wizards,,Oklahoma City Thunder,,,Paycom Center,
585,Fri Jan 6 2023,8:00p,Detroit Pistons,,San Antonio Spurs,,,AT&T Center,
586,Fri Jan 6 2023,8:30p,Brooklyn Nets,,New Orleans Pelicans,,,Smoothie King Center,
587,Fri Jan 6 2023,9:00p,Cleveland Cavaliers,,Denver Nuggets,,,Ball Arena,
588,Fri Jan 6 2023,9:00p,Los Angeles Clippers,,Minnesota Timberwolves,,,Target Center,
589,Fri Jan 6 2023,10:00p,Miami Heat,,Phoenix Suns,,,Footprint Center,
590,Fri Jan 6 2023,10:30p,Atlanta Hawks,,Los Angeles Lakers,,,Crypto.com Arena,
591,Sat Jan 7 2023,6:00p,Boston Celtics,,San Antonio Spurs,,,AT&T Center,
592,Sat Jan 7 2023,8:00p,Utah Jazz,,Chicago Bulls,,,United Center,
593,Sat Jan 7 2023,8:00p,New Orleans Pelicans,,Dallas Mavericks,,,American Airlines Center,
594,Sat Jan 7 2023,8:30p,Orlando Magic,,Golden State Warriors,,,Chase Center,
595,Sat Jan 7 2023,10:00p,Los Angeles Lakers,,Sacramento Kings,,,Golden 1 Center,
596,Sun Jan 8 2023,3:00p,Philadelphia 76ers,,Detroit Pistons,,,Little Caesars Arena,
597,Sun Jan 8 2023,3:30p,Portland Trail Blazers,,Toronto Raptors,,,Scotiabank Arena,
598,Sun Jan 8 2023,5:00p,Charlotte Hornets,,Indiana Pacers,,,Gainbridge Fieldhouse,
599,Sun Jan 8 2023,6:00p,Utah Jazz,,Memphis Grizzlies,,,FedEx Forum,
600,Sun Jan 8 2023,6:00p,Brooklyn Nets,,Miami Heat,,,FTX Arena,
601,Sun Jan 8 2023,7:00p,Minnesota Timberwolves,,Houston Rockets,,,Toyota Center,
602,Sun Jan 8 2023,7:00p,Dallas Mavericks,,Oklahoma City Thunder,,,Paycom Center,
603,Sun Jan 8 2023,8:00p,Cleveland Cavaliers,,Phoenix Suns,,,Footprint Center,
604,Sun Jan 8 2023,9:00p,Atlanta Hawks,,Los Angeles Clippers,,,Crypto.com Arena,
605,Mon Jan 9 2023,7:00p,New Orleans Pelicans,,Washington Wizards,,,Capital One Arena,
606,Mon Jan 9 2023,7:30p,Chicago Bulls,,Boston Celtics,,,TD Garden,
607,Mon Jan 9 2023,7:30p,Milwaukee Bucks,,New York Knicks,,,Madison Square Garden (IV),
608,Mon Jan 9 2023,8:00p,San Antonio Spurs,,Memphis Grizzlies,,,FedEx Forum,
609,Mon Jan 9 2023,9:00p,Los Angeles Lakers,,Denver Nuggets,,,Ball Arena,
610,Mon Jan 9 2023,10:00p,Orlando Magic,,Sacramento Kings,,,Golden 1 Center,
611,Tue Jan 10 2023,7:30p,Oklahoma City Thunder,,Miami Heat,,,FTX Arena,
612,Tue Jan 10 2023,7:30p,Detroit Pistons,,Philadelphia 76ers,,,Wells Fargo Center,
613,Tue Jan 10 2023,7:30p,Charlotte Hornets,,Toronto Raptors,,,Scotiabank Arena,
614,Tue Jan 10 2023,9:00p,Cleveland Cavaliers,,Utah Jazz,,,Vivint Arena,
615,Tue Jan 10 2023,10:00p,Phoenix Suns,,Golden State Warriors,,,Chase Center,
616,Tue Jan 10 2023,10:00p,Orlando Magic,,Portland Trail Blazers,,,Moda Center,
617,Tue Jan 10 2023,10:30p,Dallas Mavericks,,Los Angeles Clippers,,,Crypto.com Arena,
618,Wed Jan 11 2023,7:00p,Minnesota Timberwolves,,Detroit Pistons,,,Little Caesars Arena,
619,Wed Jan 11 2023,7:00p,Chicago Bulls,,Washington Wizards,,,Capital One Arena,
620,Wed Jan 11 2023,7:30p,Milwaukee Bucks,,Atlanta Hawks,,,State Farm Arena,
621,Wed Jan 11 2023,7:30p,New Orleans Pelicans,,Boston Celtics,,,TD Garden,
622,Wed Jan 11 2023,7:30p,Indiana Pacers,,New York Knicks,,,Madison Square Garden (IV),
623,Wed Jan 11 2023,8:00p,San Antonio Spurs,,Memphis Grizzlies,,,FedEx Forum,
624,Wed Jan 11 2023,9:00p,Phoenix Suns,,Denver Nuggets,,,Ball Arena,
625,Wed Jan 11 2023,10:00p,Houston Rockets,,Sacramento Kings,,,Golden 1 Center,
626,Thu Jan 12 2023,7:00p,Oklahoma City Thunder,,Philadelphia 76ers,,,Wells Fargo Center,
627,Thu Jan 12 2023,7:30p,Boston Celtics,,Brooklyn Nets,,,Barclays Center,
628,Thu Jan 12 2023,7:30p,Milwaukee Bucks,,Miami Heat,,,FTX Arena,
629,Thu Jan 12 2023,7:30p,Charlotte Hornets,,Toronto Raptors,,,Scotiabank Arena,
630,Thu Jan 12 2023,10:00p,Dallas Mavericks,,Los Angeles Lakers,,,Crypto.com Arena,
631,Thu Jan 12 2023,10:00p,Cleveland Cavaliers,,Portland Trail Blazers,,,Moda Center,
632,Fri Jan 13 2023,7:00p,New Orleans Pelicans,,Detroit Pistons,,,Little Caesars Arena,
633,Fri Jan 13 2023,7:00p,Atlanta Hawks,,Indiana Pacers,,,Gainbridge Fieldhouse,
634,Fri Jan 13 2023,7:00p,New York Knicks,,Washington Wizards,,,Capital One Arena,
635,Fri Jan 13 2023,7:30p,Golden State Warriors,,San Antonio Spurs,,,AT&T Center,
636,Fri Jan 13 2023,8:00p,Oklahoma City Thunder,,Chicago Bulls,,,United Center,
637,Fri Jan 13 2023,8:00p,Phoenix Suns,,Minnesota Timberwolves,,,Target Center,
638,Fri Jan 13 2023,9:00p,Orlando Magic,,Utah Jazz,,,Vivint Arena,
639,Fri Jan 13 2023,10:00p,Denver Nuggets,,Los Angeles Clippers,,,Crypto.com Arena,
640,Fri Jan 13 2023,10:00p,Houston Rockets,,Sacramento Kings,,,Golden 1 Center,
641,Sat Jan 14 2023,1:00p,Milwaukee Bucks,,Miami Heat,,,FTX Arena,
642,Sat Jan 14 2023,7:00p,Boston Celtics,,Charlotte Hornets,,,Spectrum Center,
643,Sat Jan 14 2023,7:00p,Memphis Grizzlies,,Indiana Pacers,,,Gainbridge Fieldhouse,
644,Sat Jan 14 2023,7:30p,Atlanta Hawks,,Toronto Raptors,,,Scotiabank Arena,
645,Sat Jan 14 2023,8:00p,Cleveland Cavaliers,,Minnesota Timberwolves,,,Target Center,
646,Sat Jan 14 2023,9:00p,Philadelphia 76ers,,Utah Jazz,,,Vivint Arena,
647,Sat Jan 14 2023,10:00p,Dallas Mavericks,,Portland Trail Blazers,,,Moda Center,
648,Sun Jan 15 2023,1:00p,New York Knicks,,Detroit Pistons,,,Little Caesars Arena,
649,Sun Jan 15 2023,3:00p,Houston Rockets,,Los Angeles Clippers,,,Crypto.com Arena,
650,Sun Jan 15 2023,3:30p,Golden State Warriors,,Chicago Bulls,,,United Center,
651,Sun Jan 15 2023,6:00p,Oklahoma City Thunder,,Brooklyn Nets,,,Barclays Center,
652,Sun Jan 15 2023,7:00p,Sacramento Kings,,San Antonio Spurs,,,AT&T Center,
653,Sun Jan 15 2023,8:00p,Orlando Magic,,Denver Nuggets,,,Ball Arena,
654,Sun Jan 15 2023,9:00p,Dallas Mavericks,,Portland Trail Blazers,,,Moda Center,
655,Sun Jan 15 2023,9:30p,Philadelphia 76ers,,Los Angeles Lakers,,,Crypto.com Arena,
656,Mon Jan 16 2023,1:00p,Boston Celtics,,Charlotte Hornets,,,Spectrum Center,
657,Mon Jan 16 2023,2:30p,Indiana Pacers,,Milwaukee Bucks,,,Fiserv Forum,
658,Mon Jan 16 2023,3:00p,New Orleans Pelicans,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
659,Mon Jan 16 2023,3:00p,Toronto Raptors,,New York Knicks,,,Madison Square Garden (IV),
660,Mon Jan 16 2023,3:00p,Golden State Warriors,,Washington Wizards,,,Capital One Arena,
661,Mon Jan 16 2023,3:30p,Miami Heat,,Atlanta Hawks,,,State Farm Arena,
662,Mon Jan 16 2023,4:00p,Utah Jazz,,Minnesota Timberwolves,,,Target Center,
663,Mon Jan 16 2023,6:00p,Phoenix Suns,,Memphis Grizzlies,,,FedEx Forum,
664,Mon Jan 16 2023,10:30p,Houston Rockets,,Los Angeles Lakers,,,Crypto.com Arena,
665,Tue Jan 17 2023,7:30p,Toronto Raptors,,Milwaukee Bucks,,,Fiserv Forum,
666,Tue Jan 17 2023,8:00p,Brooklyn Nets,,San Antonio Spurs,,,AT&T Center,
667,Tue Jan 17 2023,9:00p,Portland Trail Blazers,,Denver Nuggets,,,Ball Arena,
668,Tue Jan 17 2023,10:00p,Philadelphia 76ers,,Los Angeles Clippers,,,Crypto.com Arena,
669,Wed Jan 18 2023,7:30p,Atlanta Hawks,,Dallas Mavericks,,,American Airlines Center,
670,Wed Jan 18 2023,7:30p,Washington Wizards,,New York Knicks,,,Madison Square Garden (IV),
671,Wed Jan 18 2023,8:00p,Charlotte Hornets,,Houston Rockets,,,Toyota Center,
672,Wed Jan 18 2023,8:00p,Cleveland Cavaliers,,Memphis Grizzlies,,,FedEx Forum,
673,Wed Jan 18 2023,8:00p,Miami Heat,,New Orleans Pelicans,,,Smoothie King Center,
674,Wed Jan 18 2023,8:00p,Indiana Pacers,,Oklahoma City Thunder,,,Paycom Center,
675,Wed Jan 18 2023,9:00p,Los Angeles Clippers,,Utah Jazz,,,Vivint Arena,
676,Wed Jan 18 2023,10:00p,Minnesota Timberwolves,,Denver Nuggets,,,Ball Arena,
677,Wed Jan 18 2023,10:30p,Sacramento Kings,,Los Angeles Lakers,,,Crypto.com Arena,
678,Thu Jan 19 2023,3:00p,Chicago Bulls,,Detroit Pistons,,,AccorHotels Arena,
679,Thu Jan 19 2023,7:30p,Golden State Warriors,,Boston Celtics,,,TD Garden,
680,Thu Jan 19 2023,8:00p,Toronto Raptors,,Minnesota Timberwolves,,,Target Center,
681,Thu Jan 19 2023,10:00p,Brooklyn Nets,,Phoenix Suns,,,Footprint Center,
682,Thu Jan 19 2023,10:00p,Philadelphia 76ers,,Portland Trail Blazers,,,Moda Center,
683,Fri Jan 20 2023,7:00p,New Orleans Pelicans,,Orlando Magic,,,Amway Center,
684,Fri Jan 20 2023,7:30p,New York Knicks,,Atlanta Hawks,,,State Farm Arena,
685,Fri Jan 20 2023,7:30p,Golden State Warriors,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
686,Fri Jan 20 2023,7:30p,Miami Heat,,Dallas Mavericks,,,American Airlines Center,
687,Fri Jan 20 2023,8:00p,Los Angeles Clippers,,San Antonio Spurs,,,AT&T Center,
688,Fri Jan 20 2023,9:00p,Indiana Pacers,,Denver Nuggets,,,Ball Arena,
689,Fri Jan 20 2023,9:00p,Brooklyn Nets,,Utah Jazz,,,Vivint Arena,
690,Fri Jan 20 2023,10:00p,Memphis Grizzlies,,Los Angeles Lakers,,,Crypto.com Arena,
691,Fri Jan 20 2023,10:00p,Oklahoma City Thunder,,Sacramento Kings,,,Golden 1 Center,
692,Sat Jan 21 2023,5:00p,Boston Celtics,,Toronto Raptors,,,Scotiabank Arena,
693,Sat Jan 21 2023,7:00p,Orlando Magic,,Washington Wizards,,,Capital One Arena,
694,Sat Jan 21 2023,7:30p,Charlotte Hornets,,Atlanta Hawks,,,State Farm Arena,
695,Sat Jan 21 2023,7:30p,Milwaukee Bucks,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
696,Sat Jan 21 2023,8:00p,Houston Rockets,,Minnesota Timberwolves,,,Target Center,
697,Sat Jan 21 2023,9:00p,Indiana Pacers,,Phoenix Suns,,,Footprint Center,
698,Sat Jan 21 2023,10:00p,Philadelphia 76ers,,Sacramento Kings,,,Golden 1 Center,
699,Sun Jan 22 2023,3:30p,New Orleans Pelicans,,Miami Heat,,,FTX Arena,
700,Sun Jan 22 2023,6:00p,New York Knicks,,Toronto Raptors,,,Scotiabank Arena,
701,Sun Jan 22 2023,7:30p,Los Angeles Clippers,,Dallas Mavericks,,,American Airlines Center,
702,Sun Jan 22 2023,8:00p,Oklahoma City Thunder,,Denver Nuggets,,,Ball Arena,
703,Sun Jan 22 2023,8:00p,Memphis Grizzlies,,Phoenix Suns,,,Footprint Center,
704,Sun Jan 22 2023,8:30p,Brooklyn Nets,,Golden State Warriors,,,Chase Center,
705,Sun Jan 22 2023,9:00p,Los Angeles Lakers,,Portland Trail Blazers,,,Moda Center,
706,Mon Jan 23 2023,7:00p,Milwaukee Bucks,,Detroit Pistons,,,Little Caesars Arena,
707,Mon Jan 23 2023,7:00p,Boston Celtics,,Orlando Magic,,,Amway Center,
708,Mon Jan 23 2023,8:00p,Atlanta Hawks,,Chicago Bulls,,,United Center,
709,Mon Jan 23 2023,8:00p,Minnesota Timberwolves,,Houston Rockets,,,Toyota Center,
710,Mon Jan 23 2023,9:00p,Charlotte Hornets,,Utah Jazz,,,Vivint Arena,
711,Mon Jan 23 2023,10:00p,San Antonio Spurs,,Portland Trail Blazers,,,Moda Center,
712,Mon Jan 23 2023,10:30p,Memphis Grizzlies,,Sacramento Kings,,,Golden 1 Center,
713,Tue Jan 24 2023,7:00p,Chicago Bulls,,Indiana Pacers,,,Gainbridge Fieldhouse,
714,Tue Jan 24 2023,7:30p,Boston Celtics,,Miami Heat,,,FTX Arena,
715,Tue Jan 24 2023,7:30p,Cleveland Cavaliers,,New York Knicks,,,Madison Square Garden (IV),
716,Tue Jan 24 2023,8:00p,Denver Nuggets,,New Orleans Pelicans,,,Smoothie King Center,
717,Tue Jan 24 2023,8:30p,Washington Wizards,,Dallas Mavericks,,,American Airlines Center,
718,Tue Jan 24 2023,9:00p,Charlotte Hornets,,Phoenix Suns,,,Footprint Center,
719,Tue Jan 24 2023,10:00p,Los Angeles Clippers,,Los Angeles Lakers,,,Crypto.com Arena,
720,Wed Jan 25 2023,7:00p,Indiana Pacers,,Orlando Magic,,,Amway Center,
721,Wed Jan 25 2023,7:30p,Brooklyn Nets,,Philadelphia 76ers,,,Wells Fargo Center,
722,Wed Jan 25 2023,8:00p,Washington Wizards,,Houston Rockets,,,Toyota Center,
723,Wed Jan 25 2023,8:00p,Denver Nuggets,,Milwaukee Bucks,,,Fiserv Forum,
724,Wed Jan 25 2023,8:00p,Minnesota Timberwolves,,New Orleans Pelicans,,,Smoothie King Center,
725,Wed Jan 25 2023,8:00p,Atlanta Hawks,,Oklahoma City Thunder,,,Paycom Center,
726,Wed Jan 25 2023,10:00p,Memphis Grizzlies,,Golden State Warriors,,,Chase Center,
727,Wed Jan 25 2023,10:00p,Utah Jazz,,Portland Trail Blazers,,,Moda Center,
728,Wed Jan 25 2023,10:00p,Toronto Raptors,,Sacramento Kings,,,Golden 1 Center,
729,Wed Jan 25 2023,10:30p,San Antonio Spurs,,Los Angeles Lakers,,,Crypto.com Arena,
730,Thu Jan 26 2023,7:30p,New York Knicks,,Boston Celtics,,,TD Garden,
731,Thu Jan 26 2023,7:30p,Detroit Pistons,,Brooklyn Nets,,,Barclays Center,
732,Thu Jan 26 2023,7:30p,Chicago Bulls,,Charlotte Hornets,,,Spectrum Center,
733,Thu Jan 26 2023,8:00p,Cleveland Cavaliers,,Houston Rockets,,,Toyota Center,
734,Thu Jan 26 2023,10:00p,Dallas Mavericks,,Phoenix Suns,,,Footprint Center,
735,Thu Jan 26 2023,10:30p,San Antonio Spurs,,Los Angeles Clippers,,,Crypto.com Arena,
736,Fri Jan 27 2023,7:00p,Milwaukee Bucks,,Indiana Pacers,,,Gainbridge Fieldhouse,
737,Fri Jan 27 2023,7:30p,Memphis Grizzlies,,Minnesota Timberwolves,,,Target Center,
738,Fri Jan 27 2023,8:00p,Orlando Magic,,Miami Heat,,,FTX Arena,
739,Fri Jan 27 2023,8:00p,Cleveland Cavaliers,,Oklahoma City Thunder,,,Paycom Center,
740,Fri Jan 27 2023,10:00p,Toronto Raptors,,Golden State Warriors,,,Chase Center,
741,Sat Jan 28 2023,3:00p,Denver Nuggets,,Philadelphia 76ers,,,Wells Fargo Center,
742,Sat Jan 28 2023,5:30p,New York Knicks,,Brooklyn Nets,,,Barclays Center,
743,Sat Jan 28 2023,7:00p,Houston Rockets,,Detroit Pistons,,,Little Caesars Arena,
744,Sat Jan 28 2023,7:00p,Chicago Bulls,,Orlando Magic,,,Amway Center,
745,Sat Jan 28 2023,7:30p,Los Angeles Clippers,,Atlanta Hawks,,,State Farm Arena,
746,Sat Jan 28 2023,8:00p,Sacramento Kings,,Minnesota Timberwolves,,,Target Center,
747,Sat Jan 28 2023,8:00p,Washington Wizards,,New Orleans Pelicans,,,Smoothie King Center,
748,Sat Jan 28 2023,8:00p,Phoenix Suns,,San Antonio Spurs,,,AT&T Center,
749,Sat Jan 28 2023,8:30p,Los Angeles Lakers,,Boston Celtics,,,TD Garden,
750,Sat Jan 28 2023,9:00p,Dallas Mavericks,,Utah Jazz,,,Vivint Arena,
751,Sat Jan 28 2023,10:00p,Toronto Raptors,,Portland Trail Blazers,,,Moda Center,
752,Sun Jan 29 2023,1:00p,Miami Heat,,Charlotte Hornets,,,Spectrum Center,
753,Sun Jan 29 2023,6:00p,Indiana Pacers,,Memphis Grizzlies,,,FedEx Forum,
754,Sun Jan 29 2023,7:00p,Los Angeles Clippers,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
755,Sun Jan 29 2023,8:00p,New Orleans Pelicans,,Milwaukee Bucks,,,Fiserv Forum,
756,Mon Jan 30 2023,7:00p,Orlando Magic,,Philadelphia 76ers,,,Wells Fargo Center,
757,Mon Jan 30 2023,7:30p,Los Angeles Lakers,,Brooklyn Nets,,,Barclays Center,
758,Mon Jan 30 2023,8:00p,Sacramento Kings,,Minnesota Timberwolves,,,Target Center,
759,Mon Jan 30 2023,8:00p,Golden State Warriors,,Oklahoma City Thunder,,,Paycom Center,
760,Mon Jan 30 2023,8:00p,Washington Wizards,,San Antonio Spurs,,,AT&T Center,
761,Mon Jan 30 2023,8:30p,Detroit Pistons,,Dallas Mavericks,,,American Airlines Center,
762,Mon Jan 30 2023,9:00p,Toronto Raptors,,Phoenix Suns,,,Footprint Center,
763,Mon Jan 30 2023,10:00p,Atlanta Hawks,,Portland Trail Blazers,,,Moda Center,
764,Tue Jan 31 2023,7:00p,Miami Heat,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
765,Tue Jan 31 2023,7:30p,Los Angeles Lakers,,New York Knicks,,,Madison Square Garden (IV),
766,Tue Jan 31 2023,8:00p,Los Angeles Clippers,,Chicago Bulls,,,United Center,
767,Tue Jan 31 2023,8:00p,Charlotte Hornets,,Milwaukee Bucks,,,Fiserv Forum,
768,Tue Jan 31 2023,10:00p,New Orleans Pelicans,,Denver Nuggets,,,Ball Arena,
769,Wed Feb 1 2023,7:00p,Washington Wizards,,Detroit Pistons,,,Little Caesars Arena,
770,Wed Feb 1 2023,7:00p,Portland Trail Blazers,,Memphis Grizzlies,,,FedEx Forum,
771,Wed Feb 1 2023,7:00p,Orlando Magic,,Philadelphia 76ers,,,Wells Fargo Center,
772,Wed Feb 1 2023,7:30p,Brooklyn Nets,,Boston Celtics,,,TD Garden,
773,Wed Feb 1 2023,8:00p,Oklahoma City Thunder,,Houston Rockets,,,Toyota Center,
774,Wed Feb 1 2023,8:00p,Golden State Warriors,,Minnesota Timberwolves,,,Target Center,
775,Wed Feb 1 2023,8:00p,Sacramento Kings,,San Antonio Spurs,,,AT&T Center,
776,Wed Feb 1 2023,9:00p,Toronto Raptors,,Utah Jazz,,,Vivint Arena,
777,Wed Feb 1 2023,10:00p,Atlanta Hawks,,Phoenix Suns,,,Footprint Center,
778,Thu Feb 2 2023,7:00p,Los Angeles Lakers,,Indiana Pacers,,,Gainbridge Fieldhouse,
779,Thu Feb 2 2023,7:30p,Memphis Grizzlies,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
780,Thu Feb 2 2023,7:30p,Miami Heat,,New York Knicks,,,Madison Square Garden (IV),
781,Thu Feb 2 2023,8:00p,Charlotte Hornets,,Chicago Bulls,,,United Center,
782,Thu Feb 2 2023,8:30p,New Orleans Pelicans,,Dallas Mavericks,,,American Airlines Center,
783,Thu Feb 2 2023,9:00p,Golden State Warriors,,Denver Nuggets,,,Ball Arena,
784,Thu Feb 2 2023,10:00p,Los Angeles Clippers,,Milwaukee Bucks,,,Fiserv Forum,
785,Fri Feb 3 2023,7:00p,Charlotte Hornets,,Detroit Pistons,,,Little Caesars Arena,
786,Fri Feb 3 2023,7:00p,Sacramento Kings,,Indiana Pacers,,,Gainbridge Fieldhouse,
787,Fri Feb 3 2023,7:00p,Portland Trail Blazers,,Washington Wizards,,,Capital One Arena,
788,Fri Feb 3 2023,7:30p,Phoenix Suns,,Boston Celtics,,,TD Garden,
789,Fri Feb 3 2023,8:00p,Toronto Raptors,,Houston Rockets,,,Toyota Center,
790,Fri Feb 3 2023,8:00p,Orlando Magic,,Minnesota Timberwolves,,,Target Center,
791,Fri Feb 3 2023,8:00p,Philadelphia 76ers,,San Antonio Spurs,,,AT&T Center,
792,Fri Feb 3 2023,9:00p,Atlanta Hawks,,Utah Jazz,,,Vivint Arena,
793,Sat Feb 4 2023,6:00p,Washington Wizards,,Brooklyn Nets,,,Barclays Center,
794,Sat Feb 4 2023,7:00p,Phoenix Suns,,Detroit Pistons,,,Little Caesars Arena,
795,Sat Feb 4 2023,7:00p,Los Angeles Clippers,,New York Knicks,,,Madison Square Garden (IV),
796,Sat Feb 4 2023,8:00p,Portland Trail Blazers,,Chicago Bulls,,,United Center,
797,Sat Feb 4 2023,8:00p,Miami Heat,,Milwaukee Bucks,,,Fiserv Forum,
798,Sat Feb 4 2023,8:00p,Los Angeles Lakers,,New Orleans Pelicans,,,Smoothie King Center,
799,Sat Feb 4 2023,8:00p,Houston Rockets,,Oklahoma City Thunder,,,Paycom Center,
800,Sat Feb 4 2023,8:30p,Dallas Mavericks,,Golden State Warriors,,,Chase Center,
801,Sat Feb 4 2023,9:00p,Atlanta Hawks,,Denver Nuggets,,,Ball Arena,
802,Sun Feb 5 2023,1:00p,Orlando Magic,,Charlotte Hornets,,,Spectrum Center,
803,Sun Feb 5 2023,5:00p,Cleveland Cavaliers,,Indiana Pacers,,,Gainbridge Fieldhouse,
804,Sun Feb 5 2023,6:00p,Toronto Raptors,,Memphis Grizzlies,,,FedEx Forum,
805,Sun Feb 5 2023,6:00p,Philadelphia 76ers,,New York Knicks,,,Madison Square Garden (IV),
806,Sun Feb 5 2023,7:00p,Denver Nuggets,,Minnesota Timberwolves,,,Target Center,
807,Sun Feb 5 2023,7:00p,Sacramento Kings,,New Orleans Pelicans,,,Smoothie King Center,
808,Mon Feb 6 2023,7:00p,Boston Celtics,,Detroit Pistons,,,Little Caesars Arena,
809,Mon Feb 6 2023,7:00p,Cleveland Cavaliers,,Washington Wizards,,,Capital One Arena,
810,Mon Feb 6 2023,7:30p,Los Angeles Clippers,,Brooklyn Nets,,,Barclays Center,
811,Mon Feb 6 2023,8:00p,San Antonio Spurs,,Chicago Bulls,,,United Center,
812,Mon Feb 6 2023,8:00p,Sacramento Kings,,Houston Rockets,,,Toyota Center,
813,Mon Feb 6 2023,9:00p,Dallas Mavericks,,Utah Jazz,,,Vivint Arena,
814,Mon Feb 6 2023,10:00p,Oklahoma City Thunder,,Golden State Warriors,,,Chase Center,
815,Mon Feb 6 2023,10:00p,Milwaukee Bucks,,Portland Trail Blazers,,,Moda Center,
816,Tue Feb 7 2023,7:00p,New York Knicks,,Orlando Magic,,,Amway Center,
817,Tue Feb 7 2023,7:30p,Phoenix Suns,,Brooklyn Nets,,,Barclays Center,
818,Tue Feb 7 2023,7:30p,Atlanta Hawks,,New Orleans Pelicans,,,Smoothie King Center,
819,Tue Feb 7 2023,8:00p,Chicago Bulls,,Memphis Grizzlies,,,FedEx Forum,
820,Tue Feb 7 2023,10:00p,Minnesota Timberwolves,,Denver Nuggets,,,Ball Arena,
821,Tue Feb 7 2023,10:30p,Oklahoma City Thunder,,Los Angeles Lakers,,,Crypto.com Arena,
822,Wed Feb 8 2023,7:00p,Detroit Pistons,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
